20140218,37.4200,37.7800,37.4100,37.6300,32834000
20140219,37.5100,37.7500,37.2100,37.2200,29750400
20140220,37.7500,37.8700,37.4000,37.5700,27526100
20140221,37.9800,38.3500,37.8600,37.9400,38021300
20140224,37.6900,37.9800,37.5400,37.6900,32085100
20140225,37.5400,37.8500,37.3500,37.6100,30736500
20140226,37.4700,37.7400,37.1900,37.5800,41041800
20140227,37.8600,37.8900,37.2300,37.4500,33903400
20140228,38.3100,38.4600,37.8200,37.9800,41215000
20140303,37.7800,38.1300,37.4900,37.9200,29717500
20140304,38.4100,38.4800,38.0700,38.2000,26802400
20140305,38.1100,38.2700,37.9300,38.2500,20520100
20140306,38.1500,38.2400,37.8900,38.1400,23582200
20140307,37.9000,38.3600,37.6900,38.2800,26591600
20140310,37.8200,38.0100,37.7200,37.9900,19006600
20140311,38.0200,38.2300,37.7200,37.8700,25216400
20140312,38.2700,38.4300,37.7900,37.8000,30494100
20140313,37.8900,38.4500,37.6400,38.4200,32169700
20140314,37.7000,38.1400,37.5100,37.6500,27195600
20140317,38.0500,38.4100,37.7900,37.9000,20479600
20140318,39.5500,39.9000,38.2200,38.2600,64063900
20140319,39.2700,39.5500,38.9100,39.4700,35597200
20140320,40.3300,40.6500,39.2400,39.2500,59269800
20140321,40.1600,40.9400,40.0100,40.7200,80721800
20140324,40.5000,40.6400,39.8600,40.3400,46098400
20140325,40.3400,40.9900,39.9600,40.6600,43193100
20140326,39.7900,40.7100,39.6000,40.4800,41977500
20140327,39.3600,39.9700,39.3400,39.7400,35369200
20140328,40.3000,40.6400,39.6800,39.7900,43472700
20140331,40.9900,41.5000,40.4000,40.4300,46886300
20140401,41.4200,41.5900,41.0700,41.1500,32605000
20140402,41.3500,41.6600,41.1700,41.4400,28666700
20140403,41.0100,41.2900,40.7100,41.2900,30139600
20140404,39.8700,41.3900,39.6400,41.2500,51409600
20140407,39.8000,40.2700,39.7400,39.9600,37559600
20140408,39.8200,39.9300,39.2000,39.7500,35918600
20140409,40.4700,40.5500,39.8800,39.9300,27398700
20140410,39.3600,40.6900,39.0900,40.4400,45960800
20140411,39.2100,39.7900,39.0000,39.0000,34330200
20140414,39.1800,39.4100,38.9000,39.1100,32006600
20140415,39.7500,39.9600,39.0500,39.3400,33968700
20140416,40.4000,40.4200,39.9100,40.0600,30615800
20140417,40.0100,40.2000,39.5100,40.0100,36688400
20140421,39.9400,40.1500,39.7900,40.1300,22221200
20140422,39.9900,40.1400,39.8300,39.9600,27056700
20140423,39.6900,39.9900,39.4700,39.9900,24602800
20140424,39.8600,39.9700,39.3000,39.7400,42381600
20140425,39.9100,40.6800,39.7500,40.2900,56876800
20140428,40.8700,41.2900,40.0900,40.1400,50610200
20140429,40.5100,41.1900,40.3900,41.1000,29636200
20140430,40.4000,40.5000,40.1700,40.4000,35458700
20140501,40.0000,40.3600,39.9500,40.2400,28787400
20140502,39.6900,40.3400,39.6600,40.3100,43416600
