Symbol,% Chg(Open),Last Trade,Change ,High  ,Low   ,Volume   ,Prev Close,Open  ,% Change,Market Cap,Sector                ,Exchange,P/E (ttm), 
GCI   ,-2.75      ,8.6941    ,-0.0259,8.98  ,8.66  ,1019217  ,8.72      ,8.94  ,-0.30   ,990.45M   ,Consumer Discretionary,NYSE    ,19.82    , 
ENVA  ,-2.74      ,14.20     ,-0.15  ,14.65 ,14.15 ,169949   ,14.35     ,14.60 ,-1.05   ,477.75M   ,Financials            ,NYSE    ,13.93    , 
JASO  ,-2.69      ,5.06      ,-0.03  ,5.20  ,5.02  ,235918   ,5.09      ,5.20  ,-0.59   ,242.61M   ,Information Technology,NASDAQ  ,3.46     , 
NCMI  ,-2.60      ,12.73     ,-0.10  ,13.13 ,12.67 ,312890   ,12.83     ,13.07 ,-0.78   ,808.74M   ,Consumer Discretionary,NASDAQ  ,30.55    , 
JKS   ,-2.57      ,16.66     ,-0.22  ,17.49 ,16.55 ,407913   ,16.88     ,17.10 ,-1.30   ,533.20M   ,Information Technology,NYSE    ,2.91     , 
NEWS  ,-2.54      ,9.97      ,+0.01  ,10.23 ,9.94  ,35640    ,9.96      ,10.23 ,+0.10   ,440.31M   ,Financials            ,NASDAQ  ,16.33    , 
MDXG  ,-2.53      ,8.49      ,-0.08  ,8.71  ,8.41  ,446927   ,8.57      ,8.71  ,-0.93   ,923.93M   ,Health Care           ,NASDAQ  ,77.91    , 
FANH  ,-2.51      ,8.93      ,-0.21  ,9.57  ,8.86  ,45789    ,9.14      ,9.16  ,-2.30   ,527.86M   ,Financials            ,NASDAQ  ,27.12    , 
HOME  ,-2.49      ,14.86     ,-0.17  ,15.37 ,14.81 ,44412    ,15.03     ,15.24 ,-1.13   ,907.32M   ,Consumer Discretionary,NYSE    ,0.80     , 
AMRK  ,-2.42      ,18.52     ,-0.14  ,18.98 ,18.13 ,14654    ,18.66     ,18.98 ,-0.75   ,131.20M   ,Financials            ,NASDAQ  ,19.20    , 
OSTK  ,-2.40      ,18.30     ,-0.15  ,19.00 ,18.25 ,52595    ,18.45     ,18.75 ,-0.81   ,469.22M   ,Consumer Discretionary,NCM     ,37.65    , 
TMBCF ,-2.28      ,2.17      ,-0.12  ,2.2206,2.17  ,12500    ,2.29      ,2.2206,-5.24   ,229.25M   ,Materials             ,OTC     ,7.82     , 
KIRK  ,-2.26      ,11.25     ,-0.05  ,11.52 ,11.23 ,56481    ,11.30     ,11.51 ,-0.44   ,179.67M   ,Consumer Discretionary,NCM     ,14.29    , 
