Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Exchange, 
GNRT  ,-10.68     ,5.35      ,1358693   ,4.01     ,426.64M   ,60             ,+0.86                     ,75.59     ,5.03      ,0.09 ,-44.14      ,9.86                   ,12.24             ,20.84                  ,4.97                   ,NYSE    , 
NCR   ,-7.34      ,43.74     ,8787565   ,28.52    ,6.04B     ,336            ,+1.74                     ,26.74     ,47.55     ,0.82 ,-87.95      ,16.90                  ,-26.75            ,37.32                  ,47.82                  ,NYSE    , 
IVPAF ,-6.86      ,3.0286    ,216659    ,3.46     ,2.44B     ,11             ,+7.25                     ,47.11     ,3.09      ,-0.04,-19.45      ,3.71                   ,-25.06            ,59.10                  ,3.27                   ,OTC     , 
SHLO  ,-5.71      ,13.54     ,230394    ,69.12    ,251.75M   ,20             ,+0.42                     ,42.93     ,14.56     ,0.61 ,-86.78      ,16.26                  ,5.64              ,53.18                  ,14.82                  ,NCM     , 
ORN   ,-5.63      ,7.88      ,305855    ,55.12    ,231.41M   ,40             ,-3.46                     ,27.01     ,9.18      ,-0.44,-97.99      ,6.31                   ,-36.75            ,31.13                  ,9.54                   ,NYSE    , 
RH    ,-5.24      ,33.21     ,2459656   ,49.43    ,1.44B     ,127            ,+5.21                     ,61.17     ,31.46     ,1.60 ,-21.44      ,17.11                  ,11.71             ,31.19                  ,29.93                  ,NYSE    , 
TACO  ,-5.08      ,12.06     ,1101840   ,29.19    ,492.94M   ,32             ,+2.12                     ,29.46     ,12.70     ,-0.45,-93.29      ,14.09                  ,-36.81            ,33.78                  ,13.14                  ,NASDAQ  , 
PN    ,-4.85      ,3.14      ,220405    ,7.15     ,91.85M    ,11             ,+5.49                     ,28.95     ,3.84      ,-0.34,-86.60      ,22.22                  ,-18.09            ,32.25                  ,4.14                   ,NYSE    , 
CMP   ,-4.66      ,70.13     ,1052714   ,15.26    ,2.47B     ,60             ,+1.52                     ,18.25     ,73.99     ,-2.23,-99.03      ,2.14                   ,-19.54            ,29.00                  ,75.37                  ,NYSE    , 
GCO   ,-4.13      ,58.58     ,326511    ,13.29    ,1.22B     ,47             ,+5.68                     ,48.36     ,58.85     ,-0.74,-64.80      ,14.41                  ,-22.36            ,16.71                  ,59.51                  ,NYSE    , 
DSW   ,-3.87      ,19.86     ,4520266   ,16.25    ,1.50B     ,99             ,+1.52                     ,35.12     ,20.77     ,-0.29,-98.56      ,5.43                   ,0.45              ,18.97                  ,21.10                  ,NYSE    , 
HZN   ,-3.87      ,14.42     ,1458656   ,33.99    ,390.97M   ,19             ,-3.22                     ,24.51     ,17.20     ,-1.22,-90.28      ,36.36                  ,1.18              ,42.09                  ,18.03                  ,NYSE    , 
BPT   ,-3.79      ,16.50     ,347226    ,8.44     ,368.08M   ,22             ,+2.75                     ,24.67     ,20.08     ,-3.32,-90.29      ,10.64                  ,-12.39            ,40.58                  ,22.81                  ,NYSE    , 
ZUMZ  ,-3.68      ,17.68     ,631474    ,22.14    ,458.99M   ,27             ,-7.23                     ,30.65     ,19.97     ,-0.25,-89.56      ,26.19                  ,27.47             ,16.85                  ,20.10                  ,NGM/NGS , 
OCLR  ,-3.66      ,8.43      ,9407223   ,25.73    ,1.42B     ,63             ,-4.64                     ,33.97     ,9.20      ,-0.21,-95.45      ,26.67                  ,-31.24            ,13.74                  ,9.59                   ,NASDAQ  , 
CETX  ,-3.45      ,3.466     ,335138    ,5.68     ,35.43M    ,15             ,+2.23                     ,32.47     ,3.93      ,-0.67,-71.53      ,28.68                  ,-17.17            ,35.00                  ,4.26                   ,NASDAQ  , 
URBN  ,-3.45      ,24.21     ,3824078   ,13.53    ,2.93B     ,106            ,+1.28                     ,32.91     ,25.68     ,-0.66,-73.25      ,2.46                   ,4.95              ,34.94                  ,26.31                  ,NGM/NGS , 
LGIH  ,-3.43      ,31.15     ,443927    ,9.46     ,687.28M   ,76             ,-0.04                     ,55.45     ,30.63     ,0.61 ,-45.72      ,11.14                  ,-23.33            ,18.20                  ,29.87                  ,NASDAQ  , 
BETR  ,-3.34      ,8.10      ,739550    ,23.28    ,643.45M   ,44             ,-3.37                     ,15.18     ,9.30      ,-0.43,-93.63      ,31.37                  ,-34.78            ,31.28                  ,9.74                   ,NYSE    , 
BIG   ,-3.33      ,49.39     ,1237546   ,15.44    ,2.28B     ,145            ,+0.21                     ,35.29     ,51.69     ,0.02 ,-96.45      ,9.91                   ,-17.61            ,18.03                  ,52.02                  ,NYSE    , 
UAL   ,-3.23      ,69.86     ,5038320   ,10.56    ,22.76B    ,227            ,+0.25                     ,33.00     ,73.21     ,-0.42,-97.21      ,6.41                   ,-13.54            ,11.81                  ,74.15                  ,NYSE    , 
DKS   ,-3.21      ,47.27     ,4358216   ,19.08    ,4.29B     ,177            ,+1.10                     ,37.27     ,49.58     ,-0.89,-94.45      ,14.86                  ,-21.98            ,19.66                  ,49.82                  ,NYSE    , 
ATSG  ,-3.12      ,16.47     ,391378    ,46.11    ,1.01B     ,48             ,+1.43                     ,43.24     ,16.85     ,0.09 ,-93.66      ,6.35                   ,-23.29            ,20.01                  ,16.97                  ,NASDAQ  , 
GPS   ,-2.99      ,23.55     ,3576454   ,14.36    ,9.68B     ,100            ,+0.83                     ,40.12     ,24.25     ,0.05 ,-84.75      ,9.14                   ,-4.98             ,16.00                  ,24.41                  ,NYSE    , 
