Symbol,% Chg(Open),Last Trade,P/E (ttm),Market Cap,Description              ,Industry                                    ,% Change,% Total Return (YTD3),Volume    ,% Vol Over Yesterday's Vol,% Vol Over 5 Day Avg Vol, 
SAIC  ,-9.69      ,73.15     ,28.50    ,3.78B     ,SCIENCE APPLICATIONS INTL,IT Services                                 ,-15.19  ,+146.94              ,1547724   ,489.66                    ,586.33                  , 
AKAM  ,-4.28      ,60.47     ,35.44    ,10.99B    ,AKAMAI TECHNOLOGIES INC  ,Internet Software & Services                ,-4.69   ,+6.80                ,4451658   ,215.23                    ,271.67                  , 
WOR   ,-3.69      ,45.58     ,16.25    ,3.22B     ,WORTHINGTON INDUSTRIES   ,Metals & Mining                             ,-9.97   ,+27.70               ,1285897   ,219.95                    ,338.17                  , 
FLT   ,-2.53      ,149.24    ,32.11    ,14.01B    ,FLEETCOR TECHNOLOGIES INC,IT Services                                 ,-2.14   ,+33.43               ,2564832   ,66.09                     ,173.36                  , 
LULU  ,-2.24      ,50.83     ,32.02    ,8.44B     ,LULULEMON ATHLETICA INC  ,Textiles Apparel & Luxury Goods             ,-23.34  ,+29.14               ,40412229  ,428.50                    ,1127.57                 , 
GRUB  ,-1.49      ,33.14     ,57.91    ,2.89B     ,GRUBHUB INC              ,Internet Software & Services                ,-1.34   ,0.00                 ,1180094   ,52.41                     ,60.47                   , 
GG    ,-1.28      ,14.63     ,78.47    ,12.73B    ,GOLDCORP INC             ,Metals & Mining                             ,-1.88   ,-34.51               ,5820877   ,49.18                     ,52.46                   , 
INTU  ,-1.09      ,116.27    ,31.65    ,30.15B    ,INTUIT INC               ,Software                                    ,-1.37   ,+57.11               ,1054338   ,24.55                     ,42.25                   , 
SJM   ,-0.90      ,131.32    ,23.08    ,15.44B    ,SMUCKER (JM) CO          ,Food Products                               ,-0.96   ,+48.02               ,588282    ,58.80                     ,39.98                   , 
GWW   ,-0.83      ,233.75    ,24.09    ,13.96B    ,GRAINGER (W W) INC       ,Trading Companies & Distributors            ,-1.68   ,+1.13                ,526626    ,44.66                     ,81.96                   , 
IGT   ,-0.72      ,23.49     ,22.53    ,4.75B     ,INTL GAME TECHNOLOGY PLC ,Hotels Restaurants & Leisure                ,-0.59   ,0.00                 ,338315    ,75.75                     ,60.31                   , 
CPB   ,-0.71      ,57.15     ,35.87    ,17.52B    ,CAMPBELL SOUP CO         ,Food Products                               ,-0.73   ,+39.96               ,377041    ,37.47                     ,30.29                   , 
BUFF  ,-0.67      ,23.06     ,35.68    ,4.56B     ,BLUE BUFFALO PET PRODUCTS,Food Products                               ,-0.58   ,0.00                 ,354806    ,47.92                     ,50.34                   , 
BF/B  ,-0.64      ,46.35     ,17.63    ,18.10B    ,BROWN FORMAN CORP        ,Beverages                                   ,-0.81   ,+11.49               ,286276    ,45.74                     ,41.71                   , 
MYL   ,-0.60      ,39.97     ,43.86    ,22.23B    ,MYLAN NV                 ,Pharmaceuticals                             ,-0.94   ,-18.03               ,3839407   ,37.46                     ,36.79                   , 
WBA   ,-0.48      ,83.25     ,22.16    ,90.42B    ,WALGREENS BOOTS ALLIANCE ,Food & Staples Retailing                    ,-0.62   ,+36.21               ,1358179   ,67.35                     ,56.17                   , 
GPC   ,-0.47      ,92.18     ,20.19    ,13.75B    ,GENUINE PARTS CO         ,Distributors                                ,-0.53   ,+19.52               ,295096    ,33.02                     ,50.72                   , 
BAH   ,-0.41      ,35.36     ,21.53    ,5.36B     ,BOOZ ALLEN HAMILTON HLDG ,IT Services                                 ,-1.10   ,+86.20               ,1083246   ,75.97                     ,97.41                   , 
AAP   ,-0.40      ,148.64    ,24.14    ,11.05B    ,ADVANCE AUTO PARTS INC   ,Specialty Retail                            ,-0.68   ,+20.64               ,335715    ,45.43                     ,43.07                   , 
NTGR  ,-0.40      ,49.70     ,22.13    ,1.64B     ,NETGEAR INC              ,Communications Equipment                    ,-0.20   ,+48.79               ,198302    ,41.10                     ,41.19                   , 
AHL   ,-0.38      ,52.25     ,20.11    ,3.15B     ,ASPEN INSURANCE HOLDINGS ,Insurance                                   ,-0.48   ,+39.71               ,125716    ,37.87                     ,38.65                   , 
MKC   ,-0.36      ,97.40     ,26.57    ,12.22B    ,MCCORMICK & CO INC       ,Food Products                               ,-0.67   ,+58.71               ,453943    ,31.14                     ,46.44                   , 
CUBE  ,-0.31      ,25.49     ,57.65    ,4.66B     ,CUBESMART                ,Equity Real Estate Investment Trusts (REITs),-1.39   ,+70.79               ,1308092   ,67.46                     ,95.23                   , 
WERN  ,-0.28      ,25.93     ,23.85    ,1.88B     ,WERNER ENTERPRISES INC   ,Road & Rail                                 ,-0.28   ,+6.29                ,193224    ,35.46                     ,34.95                   , 
SEE   ,-0.27      ,43.42     ,17.68    ,8.41B     ,SEALED AIR CORP          ,Containers & Packaging                      ,-0.15   ,+45.95               ,560622    ,22.63                     ,18.71                   , 
LSI   ,-0.16      ,81.92     ,41.99    ,3.83B     ,LIFE STORAGE INC         ,Equity Real Estate Investment Trusts (REITs),-0.46   ,+28.22               ,154362    ,44.53                     ,39.20                   , 
BRO   ,-0.14      ,42.20     ,23.27    ,5.94B     ,BROWN & BROWN INC        ,Insurance                                   ,-0.35   ,+44.39               ,279828    ,59.49                     ,63.95                   , 
SNCR  ,-0.04      ,24.74     ,55.08    ,1.14B     ,SYNCHRONOSS TECHNOLOGIES ,Software                                    ,-0.08   ,-24.55               ,265194    ,32.07                     ,30.16                   , 
FDS   ,-0.02      ,164.22    ,19.46    ,6.50B     ,FACTSET RESEARCH SYSTEMS ,Capital Markets                             ,-0.09   ,+69.26               ,245599    ,35.99                     ,44.94                   , 
SRC   ,0.00       ,10.05     ,48.75    ,4.87B     ,SPIRIT REALTY CAPITAL INC,Equity Real Estate Investment Trusts (REITs),-0.10   ,+12.98               ,4800747   ,92.13                     ,84.08                   , 
IBKR  ,+0.06      ,34.52     ,27.62    ,2.35B     ,INTERACTIVE BROKERS GROUP,Capital Markets                             ,0.00    ,+65.24               ,449062    ,77.97                     ,88.16                   , 
STMP  ,+0.09      ,115.50    ,27.91    ,1.94B     ,STAMPS.COM INC           ,Internet Software & Services                ,+0.43   ,+243.21              ,195727    ,35.71                     ,42.72                   , 
EXR   ,+0.10      ,73.77     ,25.48    ,9.33B     ,EXTRA SPACE STORAGE INC  ,Equity Real Estate Investment Trusts (REITs),-0.40   ,+74.87               ,324741    ,39.29                     ,43.62                   , 
SCG   ,+0.10      ,65.55     ,15.78    ,9.38B     ,SCANA CORP               ,Multi-Utilities                             ,-0.17   ,+49.48               ,686004    ,22.49                     ,42.08                   , 
CBPX  ,+0.13      ,24.68     ,22.82    ,982.48M   ,CONTINENTAL BUILDING PROD,Building Products                           ,+0.13   ,+34.40               ,125954    ,26.81                     ,40.46                   , 
HII   ,+0.14      ,202.07    ,16.65    ,9.35B     ,HUNTINGTON INGALLS IND IN,Aerospace & Defense                         ,-0.03   ,+112.94              ,198582    ,57.41                     ,51.75                   , 
TSCO  ,+0.16      ,68.49     ,20.94    ,8.90B     ,TRACTOR SUPPLY CO        ,Specialty Retail                            ,+0.03   ,-2.80                ,531581    ,33.37                     ,32.10                   , 
NLSN  ,+0.24      ,41.09     ,29.58    ,14.70B    ,NIELSEN HOLDINGS NV      ,Professional Services                       ,-0.07   ,+0.07                ,1632491   ,62.92                     ,66.30                   , 
XLNX  ,+0.26      ,58.00     ,25.45    ,14.44B    ,XILINX INC               ,Semiconductors & Semiconductor Equipment    ,-0.03   ,+16.63               ,818819    ,38.43                     ,41.36                   , 
