Symbol,% Chg(Open),Last Trade,P/E (ttm),Market Cap,Description              ,Industry                                    ,% Change,% Total Return (YTD3),Volume    ,% Vol Over Yesterday's Vol,% Vol Over 5 Day Avg Vol, 
AMGN  ,+0.27      ,164.52    ,15.92    ,120.09B   ,AMGEN INC                ,Biotechnology                               ,+0.90   ,+46.13               ,1555195   ,38.20                     ,33.90                   , 
PAYX  ,+0.39      ,59.17     ,27.47    ,21.19B    ,PAYCHEX INC              ,IT Services                                 ,+0.19   ,+60.75               ,1552143   ,28.55                     ,47.54                   , 
BIIB  ,+0.42      ,269.83    ,15.86    ,57.99B    ,BIOGEN INC               ,Biotechnology                               ,+0.49   ,-4.63                ,982437    ,37.32                     ,62.27                   , 
AM    ,+0.43      ,33.00     ,26.21    ,6.05B     ,ANTERO MIDSTREAM PARTNERS,Oil Gas & Consumable Fuels                  ,+1.29   ,0.00                 ,127964    ,19.16                     ,32.36                   , 
VNO   ,+0.48      ,99.87     ,23.00    ,18.85B    ,VORNADO REALTY TRUST     ,Equity Real Estate Investment Trusts (REITs),+0.17   ,+23.44               ,568919    ,57.87                     ,47.60                   , 
EGOV  ,+0.50      ,20.20     ,23.88    ,1.34B     ,NIC INC                  ,Internet Software & Services                ,+0.75   ,+18.35               ,147959    ,26.03                     ,24.18                   , 
CME   ,+0.63      ,118.74    ,26.16    ,40.25B    ,CME GROUP INC            ,Capital Markets                             ,+0.20   ,+80.46               ,999883    ,108.44                    ,67.96                   , 
UFS   ,+0.92      ,36.36     ,17.85    ,2.28B     ,DOMTAR CORP              ,Paper & Forest Products                     ,-0.16   ,-21.27               ,326932    ,32.67                     ,63.92                   , 
USB   ,+1.06      ,52.31     ,15.97    ,87.62B    ,U S BANCORP              ,Banks                                       ,+1.08   ,+30.22               ,6096548   ,82.60                     ,81.53                   , 
PTHN  ,+1.08      ,26.15     ,42.18    ,3.77B     ,PATHEON NV               ,Life Sciences Tools & Services              ,+0.69   ,0.00                 ,316155    ,58.96                     ,60.17                   , 
AEL   ,+2.24      ,23.74     ,23.90    ,2.05B     ,AMERICAN EQTY INVT LIFE H,Insurance                                   ,+2.42   ,-2.92                ,628931    ,109.49                    ,114.85                  , 
