Symbol,% Chg(Open),Last Trade,P/E (ttm),Market Cap,Description              ,Industry                                           ,% Total Return (YTD3),Dividend,In S&P Small Cap 600,% Vol Over Yesterday's Vol,DM (DX) 14 Day, 
OMI   ,-1.93      ,33.97     ,19.70    ,2.12B     ,OWENS & MINOR INC        ,Health Care Providers & Services                   ,+7.82                ,1.03    ,No                  ,86.95                     ,15.10         , 
VVI   ,-1.93      ,44.58     ,21.81    ,924.92M   ,VIAD CORP                ,Commercial Services & Supplies                     ,+103.14              ,0.40    ,Yes                 ,74.63                     ,9.18          , 
GTLS  ,-1.84      ,33.00     ,37.20    ,1.04B     ,CHART INDUSTRIES INC     ,Machinery                                          ,-57.87               ,--      ,Yes                 ,60.16                     ,51.19         , 
CVRR  ,-1.82      ,9.425     ,93.09    ,1.42B     ,CVR REFINING LP          ,Oil Gas & Consumable Fuels                         ,-42.70               ,--      ,No                  ,60.81                     ,48.53         , 
TCO   ,-1.79      ,64.07     ,36.96    ,3.96B     ,TAUBMAN CENTERS INC      ,Equity Real Estate Investment Trusts (REITs)       ,+11.04               ,2.50    ,No                  ,128.94                    ,51.87         , 
SAIA  ,-1.72      ,42.80     ,23.34    ,1.11B     ,SAIA INC                 ,Road & Rail                                        ,+16.72               ,--      ,Yes                 ,126.54                    ,56.67         , 
TREX  ,-1.68      ,67.97     ,30.28    ,2.04B     ,TREX CO INC              ,Building Products                                  ,+84.99               ,--      ,Yes                 ,55.92                     ,4.65          , 
CNSL  ,-1.64      ,22.75     ,81.11    ,1.18B     ,CONSOLIDATED COMM HLDGS I,Diversified Telecommunication Services             ,+50.10               ,1.55    ,Yes                 ,73.87                     ,17.22         , 
BEAT  ,-1.53      ,25.80     ,15.06    ,747.58M   ,BIOTELEMETRY INC         ,Health Care Providers & Services                   ,+168.85              ,--      ,Yes                 ,48.47                     ,2.46          , 
HZO   ,-1.52      ,21.03     ,21.69    ,560.12M   ,MARINEMAX INC            ,Specialty Retail                                   ,+41.19               ,--      ,Yes                 ,50.92                     ,23.71         , 
NKE   ,-1.52      ,53.94     ,25.58    ,76.88B    ,NIKE INC                 ,Textiles Apparel & Luxury Goods                    ,+51.51               ,0.72    ,No                  ,200.35                    ,26.56         , 
CYBR  ,-1.51      ,48.38     ,63.37    ,1.70B     ,CYBERARK SOFTWARE LTD    ,Software                                           ,0.00                 ,--      ,No                  ,66.45                     ,21.60         , 
AU    ,-1.34      ,11.05     ,75.33    ,4.50B     ,ANGLOGOLD ASHANTI LTD    ,Metals & Mining                                    ,-43.25               ,0.10    ,No                  ,86.24                     ,2.29          , 
LSXMK ,-1.30      ,37.89     ,31.39    ,13.01B    ,LIBERTY MEDIA SIRIUSXM GR,Media                                              ,0.00                 ,--      ,No                  ,63.87                     ,1.03          , 
SIRI  ,-1.17      ,5.08      ,34.60    ,24.47B    ,SIRIUS XM HOLDINGS INC   ,Media                                              ,+57.42               ,0.04    ,No                  ,74.23                     ,6.81          , 
ABCB  ,-1.02      ,43.55     ,21.41    ,1.64B     ,AMERIS BANCORP           ,Banks                                              ,+103.56              ,0.40    ,Yes                 ,56.52                     ,48.82         , 
CIG   ,-0.95      ,3.14      ,15.57    ,4.68B     ,CIA ENERGETICA DE MINAS  ,Electric Utilities                                 ,-5.59                ,0.19    ,No                  ,163.99                    ,20.34         , 
KGFHY ,+1.43      ,8.36      ,16.22    ,9.65B     ,KINGFISHER PLC           ,Specialty Retail                                   ,-31.97               ,0.28    ,No                  ,523.05                    ,3.72          , 
