Symbol,% Chg(Open),Last Trade,P/E (ttm),Market Cap,Description              ,Industry                                    ,% Total Return (YTD3),Dividend,In S&P Small Cap 600,% Vol Over Yesterday's Vol,DM (DX) 14 Day,Avg $ Vol 5 Day,Volume   , 
KRC   ,-1.68      ,70.88     ,24.45    ,7.10B     ,KILROY REALTY CORP       ,Equity Real Estate Investment Trusts (REITs),+38.97               ,1.50    ,No                  ,69.83                     ,24.39         ,29.75M         ,188139   , 
INCR  ,-1.65      ,43.18     ,21.75    ,2.38B     ,INC RESEARCH HOLDINGS INC,Life Sciences Tools & Services              ,0.00                 ,--      ,No                  ,116.99                    ,43.07         ,32.54M         ,514876   , 
CUBE  ,-1.65      ,25.97     ,59.10    ,4.77B     ,CUBESMART                ,Equity Real Estate Investment Trusts (REITs),+70.79               ,1.08    ,No                  ,106.04                    ,11.95         ,30.43M         ,1336282  , 
TPCA  ,-1.61      ,30.50     ,18.77    ,776.00M   ,TROPICANA ENTERTAINMENT I,Hotels Restaurants & Leisure                ,+70.73               ,--      ,No                  ,1710.15                   ,9.36          ,82.00K         ,166312   , 
REXR  ,-1.60      ,21.89     ,62.14    ,1.49B     ,REXFORD INDUS REALTY     ,Equity Real Estate Investment Trusts (REITs),+72.55               ,0.58    ,No                  ,52.61                     ,14.82         ,11.13M         ,241930   , 
PEG   ,-1.60      ,44.72     ,25.80    ,22.86B    ,PUBLIC SERVICE ENTRP GRP ,Multi-Utilities                             ,+37.19               ,1.72    ,No                  ,55.44                     ,5.01          ,143.27M        ,1042923  , 
ESS   ,-1.59      ,232.76    ,37.74    ,15.51B    ,ESSEX PROPERTY TRUST     ,Equity Real Estate Investment Trusts (REITs),+53.30               ,7.00    ,No                  ,41.21                     ,3.17          ,78.50M         ,121875   , 
STOR  ,-1.55      ,23.44     ,28.91    ,3.82B     ,STORE CAPITAL CORP       ,Equity Real Estate Investment Trusts (REITs),0.00                 ,1.16    ,No                  ,108.22                    ,2.01          ,31.12M         ,1188851  , 
FRT   ,-1.55      ,132.39    ,38.51    ,9.72B     ,FEDERAL REALTY INVESTMENT,Equity Real Estate Investment Trusts (REITs),+29.98               ,3.92    ,No                  ,91.11                     ,25.55         ,74.50M         ,360458   , 
CUZ   ,-1.54      ,8.005     ,26.48    ,3.42B     ,COUSINS PROPERTIES INC   ,Equity Real Estate Investment Trusts (REITs),+7.53                ,0.24    ,No                  ,30.74                     ,21.06         ,41.02M         ,1534519  , 
SRC   ,-1.52      ,10.04     ,49.28    ,4.92B     ,SPIRIT REALTY CAPITAL INC,Equity Real Estate Investment Trusts (REITs),+12.98               ,0.72    ,No                  ,83.06                     ,44.43         ,53.68M         ,4426161  , 
UMC   ,-1.51      ,1.96      ,20.14    ,5.09B     ,UNITED MICROELECTRONICS C,Semiconductors & Semiconductor Equipment    ,+16.04               ,0.09    ,No                  ,378.35                    ,6.32          ,2.71M          ,1818054  , 
XPER  ,-1.48      ,36.50     ,33.26    ,1.83B     ,XPERI CORPORATION        ,Semiconductors & Semiconductor Equipment    ,+74.59               ,0.80    ,Yes                 ,50.95                     ,3.42          ,25.47M         ,247504   , 
MHLD  ,-1.48      ,13.30     ,71.84    ,1.18B     ,MAIDEN HOLDINGS LTD      ,Insurance                                   ,+17.26               ,0.60    ,Yes                 ,35.67                     ,44.95         ,7.45M          ,169041   , 
EDR   ,-1.47      ,39.62     ,62.14    ,2.95B     ,EDUCATION REALTY TRUST IN,Equity Real Estate Investment Trusts (REITs),+55.79               ,1.52    ,No                  ,43.61                     ,20.89         ,12.08M         ,128495   , 
ACC   ,-1.46      ,47.14     ,64.09    ,6.41B     ,AMERICAN CAMPUS COMMUNITI,Equity Real Estate Investment Trusts (REITs),+45.82               ,1.68    ,No                  ,64.82                     ,20.44         ,29.16M         ,314417   , 
DCT   ,-1.45      ,46.91     ,46.47    ,4.39B     ,DCT INDUSTRIAL TRUST INC ,Equity Real Estate Investment Trusts (REITs),+67.13               ,1.24    ,No                  ,102.26                    ,0.47          ,16.16M         ,316514   , 
ETE   ,-1.45      ,18.36     ,20.55    ,20.40B    ,ENERGY TRANSFER EQUITY LP,Oil Gas & Consumable Fuels                  ,-1.25                ,1.14    ,No                  ,54.04                     ,1.43          ,103.19M        ,3464605  , 
